id;company_name;city;country;foundation_year_cat
300000807;KiwiSecurity Software GmbH;Wien;AT;experte
300000829;TeamBank AG Nürnberg;Wien;AT;experte
300002601;IQ MEDIEN GmbH;Abersee;AT;experte
300002705;Cantaloop GmbH;Wien;AT;experte
300002837;Good Life Sports GLS GmbH;Dornbirn;AT;experte
300005997;Caverion Österreich GmbH;Wien;AT;reifen
300006499;Travel Charme Kleinwalsertal GmbH;Hirschegg;AT;experte
300007086;PRA - Public Relations Agentur GmbH;Wien;AT;experte
300008397;tripwolf GmbH;Wien;AT;experte
300009319;ZONE Media GmbH;Wien;AT;experte
300009803;qpunkt GmbH;Hart;AT;experte
300013210;Strategyn iip innovation in progress GmbH;Amstetten;AT;experte
300015274;Wolf GmbH;Lech;AT;experte
300016931;Idl GmbH;Lienz;AT;experte
300017887;Venue Management GmbH;Berndorf bei Salzburg;AT;experte
300019578;Bezirksrundschau GmbH;Linz;AT;experte
300023030;eMagnetix Online Marketing GmbH;Bad Leonfelden;AT;experte
300025151;Aconex AG;Wien;AT;experte
300025379;Symptoma GmbH;Attersee;AT;experte
300029184;JKT Immobilien GmbH;Wien;AT;experte
300030278;Anadeo Consulting GmbH;Wien;AT;experte
300030804;AUGUSTIN QUEHENBERGER GROUP GMBH;Straßwalchen;AT;junge
300087464;LEDON GmbH;Lustenau;AT;experte
300153442;Dinkhauser Kartonagen GmbH;Hall in Tirol;AT;reifen
300156650;PORR AG;Wien;AT;reifen
300164436;Otti Personalmanagement KG;Wien;AT;experte
300165586;Umdasch Group AG;Amstetten;AT;reifen
300166196;Salamander Austria GmbH;Wien;AT;reifen
300169281;Newbase GmbH;Wien;AT;experte
300170613;Sattler GmbH;Völkermarkt;AT;experte
300175619;REHAU Gesellschaft m.b.H.;Guntramsdorf;AT;junge
300186798;SANOVA Pharma GesmbH;Wien;AT;reifen
300188093;HOST Handels GmbH;Spielberg bei Knittelfeld;AT;experte
300188227;Reisewitz LRPS GmbH in Liqu.;Wien;AT;experte
300189428;AMO GmbH;Salzburg;AT;experte
300189569;YOUSURE Tarifvergleich GmbH;Wien;AT;experte
300190715;FACC AG;Ried im Innkreis;AT;experte
300191005;Steuer & Service Steuerberatungs GmbH;Wien;AT;experte
300191137;INTECO melting and casting technologies GmbH;Bruck an der Mur;AT;junge
300191400;Mayr-Melnhof Karton Gesellschaft m.b.H.;Wien;AT;junge
300191430;XXXLutz KG;Wels;AT;reifen
300191684;RTS Wind GmbH;Rannersdorf;AT;experte
300191947;ODS Management GmbH;Graz;AT;reifen
300194887;Technogroup IT-Service GmbH;Groß-Enzersdorf;AT;experte
300195340;SYMVARO GmbH;Klagenfurt;AT;experte
300196572;myWarm GmbH;Wien;AT;experte
300197326;Pro Automation GmbH;Wien;AT;experte
300197754;SIG Sales Austria GmbH;St. Pölten;AT;experte
300202463;Brother International GmbH;Wien;AT;experte
300203600;energieeffizienz GmbH;Wien;AT;experte
300204121;AVI GmbH;Wels;AT;experte
300205862;DI Siedl & DI Maurer ZT GmbH, Ingenieure und Architekten;Wr. Neustadt;AT;experte
300207457;Alpen Media GmbH;Wien;AT;experte
300208923;VA Intertrading Aktiengesellschaft;Linz;AT;junge
300210964;Lang GmbH;Judendorf-Straßengel;AT;experte
300210977;InsideAX-GmbH;Pasching;AT;experte
300210986;Head Sport GmbH;Kennelbach;AT;junge
300211832;OMV Trading GmbH;Wien;AT;experte
300212297;LIEBHERR-INTERNATIONAL AUSTRIA GMBH;Bischofshofen;AT;junge
300214483;ACP IT Solutions GmbH;Salzburg;AT;junge
300214693;GE Jenbacher GmbH;Jenbach;AT;experte
300216834;QGate Innovations GmbH;Wien;AT;experte
300217153;S&T Technologies GmbH;Linz;AT;experte
300218500;Messezentrum Salzburg GmbH;Salzburg;AT;junge
300218724;Hoval Gesellschaft m.b.H.;Marchtrenk;AT;reifen
300219359;M. Kaindl KG;Wals;AT;reifen
300219519;Atos IT Solutions and Services GmbH;Wien;AT;experte
300220955;courseticket GmbH;Wien;AT;experte
300221861;datenpol gmbh;Linz;AT;experte
300225531;Orbico Beauty GmbH;Brunn am Gebirge;AT;experte
300225745;ACP IT Solutions GmbH;Innsbruck;AT;junge
300226547;Fischer GmbH;Göming;AT;experte
300226720;Ciuvo GmbH;Wien;AT;experte
300227864;Goldbach Interactive Austria GmbH;Wien;AT;experte
300228533;LIEBHERR-HAUSGERÄTE LIENZ GMBH;Lienz;AT;junge
300228657;LIEBHERR-WERK TELFS GMBH;Telfs;AT;junge
300229000;CIM GmbH;Purkersdorf;AT;experte
300229088;B.S.C.S. Bau GmbH;Wien;AT;experte
300230148;Mood Media GmbH;Enns;AT;experte
300237765;Siemens Aktiengesellschaft Österreich;Wien;AT;reifen
300241986;Wittur GmbH;Scheibbs;AT;experte
300242729;Energie Steiermark Technik GmbH;Graz;AT;experte
300250425;Bezirksblätter Burgenland Verlag GmbH;Eisenstadt;AT;experte
300251436;ABB AG;Wien;AT;reifen
300251605;L'Occitane GmbH;Villach;AT;experte
300259462;MMS Communications Austria GmbH;Wien;AT;junge
300260127;Kuratorium Wiener Pensionisten-Wohnhäuser;Wien;AT;reifen
300262029;Habich GmbH;Leiben;AT;reifen
300265501;GRZ IT Center GmbH;Linz;AT;junge
300270568;STRABAG Property and Facility Services GmbH;Wien;AT;junge
300299906;Rohrdorfer Baustoffe Austria GmbH;Langenzersdorf;AT;reifen
300306362;GIG Karasek GmbH;Gloggnitz;AT;junge
300310256;EBNER Industrieofenbau GmbH;Leonding;AT;reifen
300310767;Wabion GmbH;Wien;AT;experte
300311885;STI-Consulting GmbH;Wien;AT;experte
300314832;LUX Tower GmbH;St. Georgen an der Gusen;AT;experte
300315021;CLAAS Global Sales GmbH;Spillern;AT;experte
300315282;ipcenter.at GmbH;Wien;AT;experte
300316035;Wolf GmbH;Klaus;AT;experte
300319365;Theodor Magrutsch;Salzburg;AT;junge
300323856;Cyberport GmbH;Wien;AT;experte
300330156;Dyrup GmbH;Wien;AT;junge
300339637;Kimberly-Clark GmbH;Wien;AT;junge
300348593;Both Interact GmbH;Graz;AT;experte
300348991;AGILOX Services GmbH;Vorchdorf;AT;experte
300358624;HRS Destination Solutions Austria GmbH;Innsbruck;AT;experte
300362114;Futura GmbH;Wien;AT;experte
300362585;Patronus GmbH;Schwechat;AT;experte
300362937;MYRA Capital GmbH in Liqu.;Salzburg;AT;experte
300362997;ZEIGER GmbH;Wien;AT;experte
300365352;Helmaxx GmbH;Salzburg;AT;experte
300366452;NetHotels GmbH;Wien;AT;experte
300367540;InTime Media Services GmbH;Wien;AT;experte
300367714;NICAPUR Supplements GmbH & Co KG;Salzburg;AT;experte
300368615;DIMOCO Europe GmbH;Brunn am Gebirge;AT;experte
300369157;Netzeffekt GmbH;Wien;AT;experte
300369388;KnowledgeFox GmbH;Wien;AT;experte
300369812;CodeFlügel GmbH;Graz;AT;experte
300369947;TÜV NORD Austria GmbH;Wien;AT;experte
300370051;Fifteen Seconds GmbH;Graz;AT;experte
300371108;ARAG SE;Wien;AT;experte
300372946;Flux Consulting GmbH;Wien;AT;experte
300374374;SAG Business Improvement GmbH;Lend;AT;experte
300376159;Bank für Tirol und Vorarlberg Aktiengesellschaft;Innsbruck;AT;reifen
300377319;Gemü GmbH;Brunn am Gebirge;AT;experte
300377951;mWS myWorld Solutions AG;Graz;AT;experte
300378202;Scheer Austria GmbH;Wien;AT;experte
300379558;CONDA AG;Wien;AT;experte
300379603;Limes Security GmbH;Hagenberg im Mühlkreis;AT;experte
300380021;HAKOM Solutions GmbH;Wien;AT;experte
300381834;uld-SCS urban living design gmbh;Vösendorf;AT;experte
300382777;Ivoclar Vivadent Manufacturing GmbH;Bürs;AT;junge
300385534;RedLink GmbH;Salzburg;AT;experte
300385943;WINGAS GmbH;Wien;AT;experte
300390689;Wolford Aktiengesellschaft;Bregenz;AT;reifen
300390820;Röfix AG;Röthis;AT;junge
300391026;KELAG Wärme GmbH;Villach;AT;junge
300392565;Lindpointner Torsysteme GmbH;Buchkirchen;AT;experte
300392930;Top Service GmbH;Salzburg;AT;experte
300396699;Jugend am Werk Steiermark GmbH;Graz;AT;experte
300397358;EDUCATION GROUP GmbH;Linz;AT;experte
300398258;ETM GmbH;Perg;AT;experte
300399012;Intercall24 Callcenter GmbH;Wien;AT;experte
300403270;COMFORT Austria GmbH;Wien;AT;experte
300403532;SCHENKER & CO AG;Wien;AT;reifen
300405189;WBS TRAINING AG;Wien;AT;experte
300406001;finikounda GmbH;Wien;AT;experte
300409792;Testo Industrial Services GmbH;Wien;AT;experte
300410327;LATZER ASSOCIATES GROUP GMBH;Salzburg;AT;experte
300410940;Ivoclar Vivadent GmbH;Wien;AT;experte
300411287;KELAG-Kärntner Elektrizitäts-Aktiengesellschaft;Klagenfurt;AT;reifen
300412607;Moser GmbH;Gaflenz;AT;experte
300412833;myAbility Social Enterprise GmbH;Wien;AT;experte
300417685;Cegeka Austria GmbH;Wien;AT;experte
300419329;KOMET GROUP GmbH;Innsbruck;AT;reifen
300420161;Wirtschaftsförderungsinstitut der Wirtschaftskammer Österreich;Wien;AT;reifen
300423691;Avocodo GmbH;Linz;AT;experte
300425360;bx Alpha AG in Liquidation;Wien;AT;reifen
300429388;Semperit Technische Produkte Gesellschaft m.b.H.;Wien;AT;junge
300438607;Probst GmbH;Pischelsdorf am Engelbach;AT;experte
300440541;bitsfabrik GmbH;Wien;AT;experte
300444326;Great Sales Force GmbH;Baden bei Wien;AT;experte
300446270;IMS Nanofabrication GmbH;Wien;AT;experte
300448372;ArAn Holding GmbH;Wien;AT;experte
300448822;plusgrad GmbH;Brunn am Gebirge;AT;experte
300451352;Zetes Austria GmbH;Perchtoldsdorf;AT;experte
300452582;Bollenberger & Bollenberger Steuerberatungs GmbH;Wr. Neustadt;AT;experte
300456143;Gepardec IT Services GmbH;Wien;AT;experte
300457272;Salzburger Flughafen GmbH;Salzburg;AT;reifen
300457905;Lovely Systems GmbH;Dornbirn;AT;experte
300459361;Schütz Marketing Services GmbH;Wien;AT;experte
300461842;Reinercon GmbH;Wien;AT;experte
300463177;BTS GmbH;Wien;AT;experte
300466106;IMMOVATIV GmbH;Tulln;AT;experte
300467192;TeamEcho GmbH;Linz;AT;experte
300468738;Bundesbeschaffung GmbH;Wien;AT;experte
300470527;KEJOB Event-, Promotion- & Gastropersonal GmbH;Wien;AT;experte
300472945;BEKO Engineering & Informatik GmbH & Co KG;Nöhagen;AT;junge
300474062;ENCOM GmbH;Velden am Wörther See;AT;experte
300476627;Codico GmbH;Perchtoldsdorf;AT;junge
300487272;RAUMHOCH GmbH;Marchtrenk;AT;experte
300488656;corner4 Information Technology GmbH;Traun;AT;experte
300493478;Project Managers PM GmbH;Hohe Wand;AT;experte
300495228;Polytech Domilens GmbH;Wien;AT;junge
300495382;Blumatix Consulting GmbH;Salzburg;AT;experte
300498826;Mars Austria OG;Breitenbrunn;AT;junge
300501692;PETRI KONFERENZTECHNIK GmbH;Korneuburg;AT;experte
300505876;Lischka GmbH;Fehring;AT;experte
300507448;GE Energy Power Conversion GmbH;Wien;AT;experte
300507865;NESPRESSO ÖSTERREICH GMBH & Co OHG;Wien;AT;experte
300512161;YUMMY Publishing GmbH;Dornbirn;AT;experte
300513623;Grissemann GmbH;Kappl;AT;experte
300514903;mquadr.at software engineering & consulting GmbH;Wien;AT;experte
300517583;Siemens Industry Software GmbH;Linz;AT;experte
300521291;Moser GmbH;Dornbirn;AT;junge
300524870;netcom GmbH;Dornbirn;AT;experte
300526473;INMED GmbH;Baden bei Wien;AT;experte
300526492;CO.RE GmbH;Regau;AT;experte
300526582;Hörmann KG;Ardning;AT;experte
300528997;Forstner Maschinenbau GmbH;Feldkirch;AT;experte
300534891;ACP X-tech GmbH;Strasshof;AT;experte
300536373;TalentChamp Consulting GmbH;Wien;AT;experte
300536468;Moser Vermögensverwaltung GmbH;Grambach;AT;experte
300536569;Maier GmbH;Höchst;AT;experte
300540510;Internorm International GmbH;Traun;AT;experte
300543337;Bartenbach GmbH;Aldrans;AT;reifen
300544173;Probst GmbH;Ebreichsdorf;AT;experte
300544843;DIG GmbH;Linz;AT;experte
300579823;XiTrust Secure Technologies GmbH;Graz;AT;experte
300592032;Wels Strom GmbH;Wels;AT;experte
300592487;ACP Business Solutions GmbH;Klagenfurt;AT;experte
300593878;Elitec Elektrotechnik Handelsgesellschaft m.b.H.;Innsbruck;AT;junge
300605099;OMV Gas Marketing & Trading GmbH;Wien;AT;experte
300605123;Österreichische Agentur für Gesundheit und Ernährungssicherheit GmbH;Wien;AT;experte
300614575;SIS Informatik GmbH;Wien;AT;junge
300615796;MS Design GmbH;Roppen;AT;junge
300618444;Werner Baldauf;Sulzberg;AT;junge
300626459;E-Quadrat communications GmbH;Wien;AT;experte
300636425;Calvatis GmbH;Wels;AT;experte
300637373;STRABAG Real Estate GmbH;Wien;AT;experte
300638058;siconnex customized solutions GmbH;Hof bei Salzburg;AT;experte
300648792;pixelpoint multimedia werbe gmbh;Klagenfurt;AT;experte
300659083;Gastberger Hotelbetriebe Gesellschaft m.b.H. & Co. KG;St. Wolfgang;AT;junge
300662306;ESA ELEKTRO AUTOMATION GMBH;Viehdorf;AT;experte
300666745;HASLINGER / NAGELE & PARTNER RECHTSANWÄLTE GMBH;Linz;AT;experte
300669769;Berndorf Sondermaschinenbau Gesellschaft m.b.H.;Berndorf;AT;junge
300678117;Bernegger GmbH;Molln;AT;junge
300682684;Ernst Klett Verlag GmbH;Wien;AT;experte
300684581;mac messe- und ausstellungscenter Service GmbH;Wien;AT;experte
300689333;Brunner GmbH;St. Andrä im Lavanttal;AT;experte
300694622;OMV Gas & Power GmbH;Wien;AT;experte
300699688;JAF International Services GmbH;Stockerau;AT;experte
300707101;GTech Automatisierungstechnik GmbH;Ried im Traunkreis;AT;experte
300711723;Skinfit International GmbH;Koblach;AT;experte
300717282;ALD Automotive Fuhrparkmanagement und Leasing GmbH;Wien;AT;experte
300729352;Otto GmbH;Graz;AT;experte
300732224;Lutz-Jesco GmbH;Leobersdorf;AT;experte
300735784;Bilfinger Chemserv GmbH;Linz;AT;experte
300744211;Let's Print Holding AG;Neudörfl an der Leitha;AT;experte
300748048;mWA myWorld Austria GmbH;Graz;AT;experte
300748725;mediamid digital services GmbH;Wien;AT;experte
300748774;optigrün international AG;Wien;AT;experte
300750309;Styria Digital Marketplaces GmbH;Graz;AT;experte
300769700;INVARIS Vermögensverwaltung GmbH;Hornstein;AT;junge
300771540;Beckman Coulter GmbH;Wien;AT;junge
300774713;ITSDONE Services GmbH;Wien;AT;experte
300777815;WWEDU World Wide Education GmbH in Liquidation;Wels;AT;experte
300778078;Rudolfinerhaus Privatklinik GmbH;Wien;AT;experte
300790362;Sapic KG;Wien;AT;experte
300793101;Schauer Planung - Energie - Service GmbH;Wien;AT;experte
300802753;RECOM Power GmbH;Gmunden;AT;experte
300828584;Arvato Logistics Services GmbH;Wien;AT;experte
300842916;"Tourismusverband ""Kitzbühel Tourismus""";Kitzbühel;AT;reifen
300848660;Komptech GmbH;Frohnleiten;AT;junge
300853665;New Design University Privatuniversität GesmbH;St. Pölten;AT;experte
300865503;Druckerei Mittermüller GmbH;Rohr im Kremstal;AT;experte
300870263;KNG-Kärnten Netz GmbH;Klagenfurt;AT;experte
300886603;Franz Wurzer;Fulpmes;AT;junge
300887874;Russmedia Verlag GmbH;Schwarzach;AT;junge
300904344;Mayer & Walketseder GmbH;Salzburg;AT;experte
300904500;TERRA Umwelttechnik GmbH;Wien;AT;experte
300905671;Neuroth AG;Wolfsberg im Schwarzautal;AT;junge
300907490;Croma-Pharma GmbH;Leobendorf;AT;junge
300923039;K2netsolutions consulting GmbH;Wien;AT;experte
300928541;igm Robotersysteme AG;Wr. Neudorf;AT;junge
300929130;Ascendum Baumaschinen Österreich GmbH;Bergheim;AT;junge
300930448;MDI Management Development GmbH;Wien;AT;experte
300943362;Focus Consulting GmbH;Seiersberg;AT;junge
300957029;Sascha Wandl;Wien;AT;experte
300961570;PHOENIX CONTACT GmbH;Wien;AT;junge
300968278;MOTIONDATA Software GmbH;Seiersberg;AT;junge
300978280;ee Vienna GmbH;Wien;AT;experte
300981284;Böckmann Fahrzeugwerke GmbH;Rohrendorf;AT;experte
300984275;Legrand Austria GmbH;Wien;AT;junge
300988578;Internorm Fenster GmbH;Traun;AT;experte
301003968;HETA ASSET RESOLUTION AG;Klagenfurt;AT;reifen
301011771;Rudolf Müller;Klosterneuburg;AT;junge
301020251;SBS Software Gesellschaft m.b.H.;Salzburg;AT;junge
301031670;Hotel am Stephansplatz Betriebsgesellschaft m.b.H.;Wien;AT;reifen
301090437;FACC Operations GmbH;Ried im Innkreis;AT;junge
301091518;DUP Compressors Trading GmbH;Hohenems;AT;junge
301093217;Agfa HealthCare Ges.m.b.H.;Wien;AT;junge
301110136;TÜV AUSTRIA AKADEMIE GMBH;Wien;AT;junge
301113176;Ocilion IPTV Technologies GmbH;Ried im Innkreis;AT;experte
301115226;VIENNA INTERNATIONAL Hotelmanagement Aktiengesellschaft;Wien;AT;junge
301116307;LEASFINANZ GmbH;Wien;AT;experte
301120122;Binder GmbH;Seckau;AT;experte
301123910;Schüller GmbH;Tulln;AT;experte
301130316;BearingPoint Technology GmbH;Unterpremstätten;AT;junge
301134826;Fonds Soziales Wien;Wien;AT;experte
301153201;PORR Umwelttechnik GmbH;Wien;AT;junge
301155987;Viessmann Holzheiztechnik GmbH;Wolfurt;AT;junge
301156725;SeneCura Holding West GmbH;Wien;AT;junge
301200320;COSTA CROCIERE S.P.A.;Linz;AT;junge
301205113;Fellner Wratzfeld & Partner Rechtsanwälte GmbH;Wien;AT;experte
301210121;EUROLyser Diagnostica GmbH;Salzburg;AT;experte
301237751;ITSM Partner Consulting GmbH;Wien;AT;experte
301239542;FONDA Interaktive Medien und Kommunikation GmbH;Wien;AT;experte
301244880;INDAT Modellbau Werkzeugbau Formenbau GmbH;Rohrbach an der Gölsen;AT;experte
301253592;FirmenABC Marketing GmbH;Eugendorf;AT;experte
301277497;Rhenus Logistics GmbH;Wien;AT;experte
