id;company_name;city;country;foundation_year_cat
403;Barfeld & Partner GmbH;Mülheim an der Ruhr;DE;experte
462;vergissmeinnicht Werbeagentur GmbH;Überlingen;DE;experte
507;Michgehl & Partner GmbH;Nordwalde;DE;experte
942;biX Consulting GmbH & Co. KG;Ratingen;DE;experte
985;OneTools GmbH & Co. KG;Mainz;DE;experte
1199;Stadtwerke Fürstenfeldbruck GmbH;Fürstenfeldbruck;DE;reifen
1699;analog multimedia;Bammental;DE;experte
1773;Gutmark, Radtke & Company AG;Frankfurt;DE;experte
1822;BETTERHOMES (Schweiz) AG;Zürich;CH;experte
1900;STROBEL VERLAG GmbH & Co. KG;Arnsberg;DE;reifen
1942;Probst & Consorten Marketing-Beratung;Dresden;DE;experte
1954;PROJECT CONSULT Unternehmensberatung Dr. Ulrich Kampffmeyer GmbH;Hamburg;DE;experte
2005;Löwe Medizintechnik;Waltenhofen;DE;experte
2078;LOOM GmbH;Berlin;DE;experte
2619;VAUTID GmbH;Ostfildern;DE;experte
2891;enotech Personalservice GmbH;Dieburg;DE;experte
2934;autinity systems GmbH;Chemnitz;DE;experte
2992;Hotel Prinzregent;Edenkoben;DE;experte
3009;Heinrich Koch Internationale Spedition GmbH & Co. KG;Osnabrück;DE;reifen
3093;Kfz-Sachverständigenbüro;Moorenweis;DE;experte
3430;MSI Aircraft Maintenance Services International GmbH & Co. KG;Rüsselsheim;DE;experte
3687;Abegglen Management Consultants AG;Zürich;CH;experte
3718;memoray GmbH;München;DE;experte
3738;Proemion GmbH;Fulda;DE;experte
3870;Zephram GbR;Magdeburg;DE;experte
3882;actus GmbH;Osnabrück;DE;experte
3920;ITG Induktionsanlagen GmbH;Hirschhorn;DE;experte
3938;API Deutschland GmbH;Schweinfurt;DE;experte
4075;ESD Dienstleistungsgruppe;Mühldorf;DE;experte
4144;BGS Beta-Gamma-Service GmbH & Co. KG;Wiehl;DE;junge
4263;plümer)communications;Hamburg;DE;experte
4266;Invision Private Equity AG;Zug;CH;experte
4383;advantegy GmbH;Schwerte;DE;experte
4550;INDAT Modellbau Werkzeugbau Formenbau GmbH;Rohrbach an der Gölsen;AT;experte
5116;SchlieperColor e.K.;Essen;DE;junge
5599;avado Systems Binder & Weber GbR;Strausberg;DE;experte
5817;WGS electronic GmbH;Hamburg;DE;experte
5897;APONEO Deutsche Versand-Apotheke;Berlin;DE;experte
6130;Feinmess Dresden GmbH;Dresden;DE;reifen
6140;IQ Solutions GmbH;Offenbach;DE;experte
6183;Wunderknaben Kommunikation GmbH;Erkrath;DE;experte
6419;Seitz GmbH & Co. KG Management Services;Sinzing;DE;experte
6434;Leguan Productions AG;Uetikon am See;CH;experte
6442;Sofon Deutschland GmbH;Oberhausen;DE;experte
6449;ELWITEC GmbH;Velbert;DE;experte
6735;Kreisklinik Ebersberg gGmbH;Ebersberg;DE;junge
6751;Barcodat GmbH;Dornstetten;DE;junge
6820;MCS Marketing und Convenience-Shop System GmbH;Offenburg;DE;experte
7043;Jungfer Druckerei und Verlag GmbH;Herzberg am Harz;DE;experte
7305;Diekmann Rechtsanwälte;Hamburg;DE;experte
7343;Musicworks;Hamburg;DE;experte
7564;Herco Wassertechnik GmbH;Freiberg am Neckar;DE;reifen
7633;Concept2 Deutschland GmbH;Hamburg;DE;experte
7811;Megatron Veranstaltungstechnik AG;Mellingen;CH;junge
7859;citim GmbH;Barleben;DE;experte
7861;Flair Park-Hotel Ilshofen;Ilshofen;DE;experte
8390;CONFTEC GmbH;Bad Homburg;DE;experte
8623;Megasoft GmbH;Solingen;DE;experte
8941;Lightcompany GmbH;Neuss;DE;experte
8967;Paseo Marketing GmbH;Karlsruhe;DE;experte
9048;infotainweb AG;München;DE;experte
9069;pliXos GmbH;München;DE;experte
9426;INFOsys Kommunal GmbH;Kirkel-Limbach;DE;experte
9556;HGI Heger Gebäudeautomation Ingenieurgesellschaft mbH;Hörstel;DE;experte
9557;Bausachverständiger;Bürstadt;DE;experte
9578;Point Grey Research GmbH;Ludwigsburg;DE;experte
9584;REISSER-Schraubentechnik GmbH;Ingelfingen;DE;reifen
9718;widjet GmbH;Köln;DE;experte
9741;RULMECA GERMANY GmbH;Aschersleben;DE;reifen
9775;freelancermap GmbH;Nürnberg;DE;experte
9942;KaffeeSATZ PR;Bochum;DE;experte
10531;Christmann Informationstechnik + Medien GmbH & Co. KG;Ilsede;DE;experte
10541;focus consulting GmbH;Braunschweig;DE;experte
10593;Fexcom GmbH;Leipzig;DE;experte
10663;IHH INTERNATIONAL HEAD HUNTERS Management- und Personalberatungsgesellschaft mbH;München;DE;experte
10706;eobiont GmbH;Berlin;DE;experte
10825;ZS Computer Service GmbH;Gießen;DE;experte
10885;Promostore Merchandising GmbH;Essen;DE;experte
11091;LUTRO Luft- und Trockentechnik GmbH;Leinfelden-Echterdingen;DE;reifen
11109;Silbitz Guss GmbH;Silbitz;DE;experte
11150;ISN - Innovation Service Network GmbH;Graz;AT;experte
11256;MT Misslbeck Technologies GmbH;Ingolstadt;DE;experte
11269;Bildungswerk der Niedersächsischen Wirtschaft gemeinnützige GmbH;Hannover;DE;experte
11517;Ärzte ohne Grenzen e.V.;Berlin;DE;experte
11524;Cendres+Métaux SA;Biel/Bienne;CH;experte
11566;ITONICS GmbH;Nürnberg;DE;experte
11589;YOUR SL GmbH;Berlin;DE;experte
11790;LEWA Attendorn GmbH;Attendorn;DE;experte
11902;audimark GmbH;Düsseldorf;DE;experte
11926;Ambulanz Aicher München OHG;München;DE;junge
11996;Pikatron GmbH;Usingen;DE;experte
12133;pemedia GmbH;Düsseldorf;DE;experte
12255;ClientSolutions GmbH;Frankfurt;DE;experte
12520;TECCAD engineering GmbH;Landshut;DE;experte
12577;AirPlus International AG;Zürich-Flughafen;CH;experte
12866;Hotelfernschule Poppe & Neumann;Grävenwiesbach;DE;reifen
12883;MultiBase GmbH;Gilching b. München;DE;experte
12967;Hallo Welt! - Medienwerkstatt GmbH;Regensburg;DE;experte
12982;GFG SEIBT AG;Rosenheim;DE;experte
12988;impavidi GmbH;Berlin;DE;experte
13117;DURUM Verschleißschutz GmbH;Willich;DE;experte
13240;SMV Sitz- & Objektmöbel GmbH;Löhne-Gohfeld;DE;experte
13254;Catalysts GmbH;Linz;AT;experte
13420;Soziale Innovation GmbH;Dortmund;DE;experte
13706;GAD GmbH;Dresden;DE;experte
13785;WiriTec GmbH;Bensheim;DE;experte
13866;it-agile GmbH;Hamburg;DE;experte
13882;ProTeam Business Solutions GmbH;Mönchengladbach;DE;experte
14069;schwarzspringer Werbeagentur GmbH;Stuttgart;DE;experte
14224;Bauknecht Softfolio.pps GmbH;Schramberg;DE;reifen
14235;MARTES NEW MEDIA;Karlsruhe;DE;experte
14445;Sputnik;Percha (BZ);IT;experte
14511;Ars Electronica Linz GmbH;Linz;AT;experte
14873;W.P. highlights GmbH & Co. KG;Papenburg;DE;experte
14980;LSP Innovative Automotive Systems GmbH;Unterföhring;DE;experte
15050;Engelking Elektronik GmbH;Tuningen;DE;experte
15285;SENATOR Beteiligungen GmbH;Düsseldorf;DE;experte
15301;systel GmbH;Sindelfingen;DE;experte
15466;Dörken MKS-Systeme GmbH & Co. KG;Herdecke;DE;junge
15824;CompAS GmbH;München;DE;experte
15837;netCo GmbH;Hamburg;DE;experte
15881;Norbert Zänker & Kollegen, Dolmetscher und Übersetzer;Berlin;DE;experte
15908;Dixeno GmbH;Paderborn;DE;experte
15962;TLA TeleLearn-Akademie gGmbH;Hamburg;DE;experte
16065;Digatron Industrie-Elektronik GmbH;Aachen;DE;junge
